indv	popLabel
Mevo1	E
Mevo10	E
Mevo10a	E
Mevo10b	E
Mevo11	E
Mevo11a	E
Mevo11b	E
Mevo12	E
Mevo12a	E
Mevo12b	E
Mevo13	E
Mevo13a	E
Mevo13b	E
Mevo14	E
Mevo14a	E
Mevo14b	E
Mevo15	E
Mevo15a	E
Mevo15b	E
Mevo16	E
Mevo16a	E
Mevo16b	E
Mevo17	E
Mevo17a	E
Mevo17b	E
Mevo18	E
Mevo18a	E
Mevo18b	E
Mevo19	E
Mevo19a	E
Mevo19b	E
Mevo1a	E
Mevo1b	E
Mevo2	E
Mevo20	E
Mevo20a	E
Mevo20b	E
Mevo21	E
Mevo21a	E
Mevo21b	E
Mevo22	E
Mevo22a	E
Mevo22b	E
Mevo23	E
Mevo23a	E
Mevo23b	E
Mevo24	E
Mevo24a	E
Mevo24b	E
Mevo25	E
Mevo25a	E
Mevo25b	E
Mevo26	E
Mevo26a	E
Mevo26b	E
Mevo27	E
Mevo27a	E
Mevo27b	E
Mevo28	E
Mevo28a	E
Mevo28b	E
Mevo29	E
Mevo29a	E
Mevo29b	E
Mevo2a	E
Mevo2b	E
Mevo3	E
Mevo30	E
Mevo30a	E
Mevo30b	E
Mevo3a	E
Mevo3b	E
Mevo4	E
Mevo4a	E
Mevo4b	E
Mevo5	E
Mevo5a	E
Mevo5b	E
Mevo6	E
Mevo6a	E
Mevo6b	E
Mevo7	E
Mevo7a	E
Mevo7b	E
Mevo9	E
Mevo9a	E
Mevo9b	E
Mmil1	E
Mmil1a	E
Mmil1b	E
Mmil2	E
Mmil2a	E
Mmil2b	E
Mmil3	E
Mmil3a	E
Mmil3b	E
Mmil4	E
Mmil4a	E
Mmil4b	E
Mmil5	E
Mmil5a	E
Mmil5b	E
Mthy1	T
Mthy10	T
Mthy10a	T
Mthy10b	T
Mthy11	T
Mthy11a	T
Mthy11b	T
Mthy12	T
Mthy12a	T
Mthy12b	T
Mthy13	T
Mthy13a	T
Mthy13b	T
Mthy14	T
Mthy14a	T
Mthy14b	T
Mthy15	T
Mthy15a	T
Mthy15b	T
Mthy16	T
Mthy16a	T
Mthy16b	T
Mthy17	T
Mthy17a	T
Mthy17b	T
Mthy18	T
Mthy18a	T
Mthy18b	T
Mthy19	T
Mthy19a	T
Mthy19b	T
Mthy1a	T
Mthy1b	T
Mthy2	T
Mthy20	T
Mthy20a	T
Mthy20b	T
Mthy21	T
Mthy21a	T
Mthy21b	T
Mthy2a	T
Mthy2b	T
Mthy3	T
Mthy3a	T
Mthy3b	T
Mthy4	T
Mthy4a	T
Mthy4b	T
Mthy5	T
Mthy5a	T
Mthy5b	T
Mthy6	T
Mthy6a	T
Mthy6b	T
Mthy7	T
Mthy7a	T
Mthy7b	T
Mthy8	T
Mthy8a	T
Mthy8b	T
Mkee10	K
Mkee10a	K
Mkee10b	K
Mkee11	K
Mkee11a	K
Mkee11b	K
Mkee12	K
Mkee12a	K
Mkee12b	K
Mkee13	K
Mkee13a	K
Mkee13b	K
Mkee14	K
Mkee14a	K
Mkee14b	K
Mkee2	K
Mkee2a	K
Mkee2b	K
Mkee3	K
Mkee3a	K
Mkee3b	K
Mkee4	K
Mkee4a	K
Mkee4b	K
Mkee6	K
Mkee6a	K
Mkee6b	K
Mkee7	K
Mkee7a	K
Mkee7b	K
Mkee8	K
Mkee8a	K
Mkee8b	K
Mkee9	K
Mkee9a	K
Mkee9b	K
